name,is_fake,n_frame,set_name
abofeumbvv,1,300,train
abooilmuow,1,301,train
abozmriuej,0,300,train
abpanedvow,0,300,train
abpibxailk,0,300,val
abplofmgwg,0,300,train
abpqikbcpj,1,300,train
abpwapkxel,0,302,train
abpynckiti,1,300,val
abqixolobn,1,300,train
abqqjjoabz,1,300,val
abqvchodwu,1,300,train
abqwwspghj,1,300,train
abreamitah,1,300,train
abrfkdizen,0,300,train
abrnvjbjwb,1,300,train
abroglvegl,1,298,val
abrtpedhex,1,300,val
abrvrktwyp,1,299,train
abrwlzdhnc,1,300,train
abrzoxzceh,1,300,val
absbzgzmsf,1,300,train
abshlmrtvt,0,300,train
absrjvblaj,1,300,val
abssilrpat,1,300,train
abssjquwjy,1,300,train
absujvyrdm,0,300,train
absytkidsf,1,300,train
abszlbwsaz,1,300,train
abtdxltqyc,1,300,val
abterabwrj,1,300,val
abteztchqz,1,167,train
abtrcaikve,0,300,train
abtwfjsdra,1,300,train
abubfimllc,0,300,train
abvbbhojqz,1,300,train
abvgbvoxco,1,300,val
abviavonpo,0,300,train
abvmydmmpd,1,300,train
abvpqidzxi,0,242,train
abvptajbyb,1,300,train
abwadcxlmj,1,300,train
abwbwxdssk,1,300,train
abwijcvcbe,1,300,train
abwkycibpi,1,298,train
abwlafapkf,1,300,val
abwndgzvkq,1,300,train
abwvxlfyvh,1,301,train
abwzrtrwic,1,300,train
abxeyfzocf,1,300,train
abxpidbrnq,1,300,train
abxqiozuzu,1,300,train
abxqxkuktx,1,300,train
abxrjzzetq,0,236,train
abxtkdjyru,1,299,test
abxxxaobry,1,300,val
abydcbpvfl,1,300,train
abyewytpxo,1,300,train
abygnkrrix,1,300,train
abyhogcrwu,1,300,train
abyjfijbjk,1,300,train
abymaaihkj,1,300,train
abyrwifdfe,0,300,train
abysizqmso,1,300,train
abzamapbpi,1,300,train
abzbwiyubn,1,300,train
abzcmncrxu,1,300,train
abzdscofnz,1,300,train
abzdxpmmdb,0,300,val
abzelcbnya,1,301,train
abzkaeazro,1,300,train
abzkauwmbl,0,300,train
acagallncj,1,300,test
acajitpqte,1,301,train
acanmekatk,1,300,train
acazlolrpz,1,300,test
acbjldcqka,1,300,train
acbkbblbaj,0,300,val
acbnunfplf,1,300,train
acboheogok,1,300,train
acbolztzli,1,300,val
acbqitgkie,1,300,train
acbqyhyrfb,1,300,train
acbtslwclk,1,301,train
acbvpkcgqo,1,300,train
acbztojjhi,1,300,train
accfhmtiuj,1,301,val
accfrqkrni,1,301,train
acckjqyxad,1,300,train
accnrseufh,0,300,val
accuranbpc,1,300,test
acdcqpnwcv,1,300,val
acdeidkyvv,1,300,train
acdichcibo,0,300,train
acdinqwqvn,0,300,train
acdkfksyev,1,300,test
acdlfavijf,1,300,train
acdsdxwpcv,0,300,train
acdsgpjcpz,0,300,train
acdycejvma,1,300,val
acdzvbtfpo,1,300,train
acefbeffbr,0,300,train
acegbdlwrl,1,300,train
acegtkwxxv,1,301,val
acekdubprv,1,300,train
acekgkqgdg,1,300,train
acekqocukw,1,300,train
acerazhyvo,1,300,val
acesusftoa,0,300,train
acfaxepklq,1,300,train
acffugkzgj,1,300,train
acfkbngapy,1,297,train
acfnqjgsgj,1,300,train
acfontkfbh,0,300,train
acfpjpwulr,1,300,train
acfwxwjowu,1,300,train
acgdmcpqoe,1,300,train
acgfnrikwu,1,300,train
acgnyiipuz,1,300,train
acgousjnbk,0,297,train
acguxjvmju,0,300,train
acgwaylwzk,0,300,val
acgwstvole,1,300,val
acgyspwyqr,1,301,train
acgyszkuel,1,300,train
acgywoqfbr,1,300,train
acgzblwsgw,0,300,train
achakioceb,1,300,train
achcojqaas,1,300,train
achdeirhym,1,300,test
achejkrwas,1,300,train
achekamhkd,1,300,train
achofoxrpx,1,241,train
achowwyozf,1,300,train
achylfkuww,0,300,train
achzehztxs,1,300,train
acidsbcssr,1,300,val
aciecilrsg,1,300,val
acifjvzvpm,1,300,train
acihfhsary,1,300,train
acijttdakc,1,298,train
aciojxqswi,1,300,train
acirmhvmqj,1,300,train
acitwmzozm,1,300,train
aciukwyoli,1,300,train
aciwtsxaxa,1,300,val
aciykyosuy,1,300,train
aciymzujzb,1,300,train
acjajsfopu,1,300,train
acjjzzvzvg,1,241,train
acjronkyus,1,300,train
acjwdlpzob,1,300,val
acjwolqjgw,1,300,train
acjxjweexj,1,300,train
ackdbivzat,1,298,train
acksouhbrc,1,300,train
ackurqduho,1,300,val
ackyrwxeew,1,300,train
aclbgqullo,1,300,train
acldlsznmw,1,300,train
acldzthtdb,1,300,train
acledardkp,1,300,train
acljemtpdq,1,300,val
acljesxipy,1,299,val
acljgkyckk,1,300,val
aclrropsvm,1,300,train
aclwcilmvu,1,300,train
acmbupnrjx,1,300,train
acmclypsqv,1,300,val
acmhexsysx,0,301,train
acmooughzq,1,301,train
acmprtiljv,1,300,train
acnjextatt,1,300,val
acnneviedl,0,301,train
acnxphmsks,1,302,val
acocfksxwg,1,300,val
acoddicury,1,300,train
acojangjjl,1,300,train
acokjaojew,0,301,train
acolsfrwgj,0,300,train
acomtivxdw,1,300,train
acottxtsbq,0,300,train
acovzzymlu,1,300,val
acozboebwm,0,300,train
acpaumltcm,1,300,train
acpcmicltl,1,300,train
acpdtcpguj,1,300,val
acpiobctdt,1,300,train
acpmgqemao,1,300,val
acpqdpskin,1,300,train
acpsfrntrv,1,300,train
acpswnmcyt,1,299,val
acptlizllc,1,300,val
acpvctzdde,1,300,train
acqaoymwjb,1,300,val
acqawykwfs,1,300,train
acqfdwsrhi,1,300,train
acqihnyhih,1,300,train
acqpwmuogz,1,300,train
acquouyxco,1,300,train
acrbohqcuv,0,300,train
acrfgqyqom,0,300,train
acrfuqupxt,1,302,train
acrlghmrkp,0,300,train
acrmlmgeog,1,300,train
acrmtzeojb,1,300,train
acrmwhpkcd,0,300,train
acrnjclnuw,1,300,train
acrpacryoy,1,300,train
acrrbsroel,1,298,train
acrxkexoqu,1,300,train
acryukkddn,1,300,test
acscknxbjl,0,300,val
acsfdxosrq,1,300,val
acsgqmpdez,1,300,train
acsiidpvei,0,300,train
acsnnvnvhy,1,300,train
acsooctzwo,1,300,val
acstbmvpcr,1,300,train
acsvpqbdfk,1,300,train
actccpgzdm,1,300,val
actccqfmac,1,300,train
actjhhywdl,1,302,train
actlcrgiug,0,301,val
actodakupb,1,298,train
acubjjdopy,0,300,train
acugesknfp,1,300,val
acuhmmgmtx,0,300,train
acukjpjxen,1,300,train
aculncmpqz,1,300,train
acuplpopso,1,300,val
acuqtxhvhc,0,300,train
acvfwpmvrw,1,300,train
acvmhbulie,1,300,train
acvojaahxa,1,300,train
acvpuukcwl,0,300,val
acvsdjaqqq,1,300,train
acwbuvznwf,1,300,train
acwcgmdxhl,1,300,train
acwctvmnlq,0,300,train
acwegmlcgs,1,300,val
acwgeumyoy,0,300,train
acwrjqrixb,1,300,train
acwsfbvhdr,1,300,train
acwyzobqer,1,300,train
acxcqyqlwx,1,300,val
acxnxvbsxk,1,300,train
acxullwnzh,1,300,train
acxwigylke,1,298,train
acxwjqncgh,0,300,train
acydhcvpnx,0,300,val
acyjzyuamp,0,300,train
acymbipdjl,1,300,train
acysbfbfnz,1,300,train
acyvmvapdl,1,296,val
acyvqflqkv,0,300,train
acyybfjpmd,1,300,train
acyyvmziij,1,300,train
acyywefdgd,1,300,train
aczigtxrgf,1,299,val
aczjkkdxtd,1,300,train
aczlzylqpq,1,300,train
aczofflgti,1,298,train
aczqjdvoge,0,300,train
aczrgyricp,1,300,train
aczrqatleo,1,300,val
aczsrttjzb,1,300,val
aczzgyjlrh,1,300,val
adaebgmnfr,1,300,train
adaghsyfjw,1,300,train
adalaxvwfv,1,300,train
adamtvkcrt,1,300,train
adanpmvyxk,1,301,train
adaodkocvq,0,300,train
adaoqecjet,1,300,train
adarbftbnt,1,300,train
adawqznrjo,1,300,train
adbavqbqsj,1,300,val
adblmfjbta,1,300,train
adbniaqshh,1,298,train
adbovbqdts,1,300,train
adbrvcotdu,1,300,train
adbrzekmbf,1,300,train
adbseuwqjt,1,300,train
adbtmcrziy,1,300,train
adbxbaprel,1,300,train
adbzrcfwga,1,300,train
adcahlmkdo,1,299,train
adcbeqixvb,1,300,val
adcejihrnp,1,300,train
adchpydhaz,0,300,train
adchsrubwe,1,300,train
adciglvoob,0,300,train
adckadazdl,1,300,train
adcnvlhawy,1,300,train
adcomakgmc,1,300,train
adcxgttehe,0,301,train
adcywtvtty,1,300,val
addeinoouo,1,300,train
addewzbsic,1,300,val
addkktdymg,1,241,train
addknoverp,0,300,train
addmkzupjn,1,300,train
addsdoqtzo,1,300,train
addtbwjyjw,0,300,val
addvsjaeho,1,300,train
addygiubph,1,300,val
addyjceutz,1,300,train
adechdkvaj,1,300,train
adedomkndn,1,300,train
adetbwujux,1,300,train
adezhpkskf,1,300,train
adfdenhxsm,1,300,train
adffjkqxhu,1,300,train
adfgonrqvw,1,301,train
adfteyuomy,1,241,train
adftmlvzfs,1,300,test
adfufsvmcl,1,300,train
adfzvplbky,1,301,train
adgbonsihj,1,301,train
adgeevfgsm,1,300,train
adgpcfwhtf,1,300,train
adgsdutoer,1,300,train
adguixzqmu,1,300,val
adgveaibmt,0,300,train
adgwkmcvre,1,300,train
adgwpnyltr,1,300,train
adgybhytzs,1,300,train
adhbvpbwpr,1,300,train
adhdziprml,1,288,train
adhfwchxwe,1,300,val
adhksutmhs,1,300,train
adhmuoxxhp,1,300,train
adhsbajydo,1,300,train
adhwaysrfz,1,300,train
adhwkmcxpl,1,298,val
adhwnjtpky,1,241,train
adhxgdbqlr,1,300,train
adieleznea,1,298,train
adiitvebli,1,300,train
adilspamjj,1,300,val
adioaqyble,1,301,train
aditupkylq,1,301,val
adjeohbzmp,1,300,train
adjkuzwzvx,1,300,val
adjwiqxrfp,1,300,train
adjynjeyrp,1,300,val
adjzxczied,1,300,train
adkbiscuoo,0,300,train
adkbzciieb,1,300,train
adkmserist,0,300,train
adkmwvnowf,0,300,train
adkvpprwcz,1,300,val
adkymkuove,0,300,val
adlbyccevz,1,300,train
adlecsyrxv,1,300,train
adlpogpncr,1,300,train
adlrcdmybm,0,300,train
adltvboxxd,1,300,train
adlucxlfvr,1,241,train
adlwbrcqkw,1,300,train
admbuyewyx,1,300,train
admgstssgd,1,297,train
admnsknntz,1,300,val
admtxtpqza,1,300,val
admukpsohs,1,301,train
admyveomqu,1,298,train
adneakturu,1,300,train
adnhkwloas,1,301,train
adnlomirjs,1,300,train
adnnnmoqek,1,300,train
adnuzwuhcb,1,300,train
adnwcpiofc,1,301,train
adnwmyfaek,1,300,val
adoegocfid,1,299,train
adohdulfwb,0,300,test
adohikbdaz,1,300,train
adokcuwvpm,1,249,train
adovxmilsk,1,300,val
adozueqxqh,1,300,val
adpaakulte,1,301,train
adpdecrehl,1,300,train
adplentlpv,1,300,train
adpobgciet,1,241,train
adprabxmos,1,300,train
adprkekziz,1,300,train
adptnnwyum,0,300,train
adpuazsbqv,1,300,train
adpxdcydgq,1,300,train
adpxjjknbc,1,300,train
adqetuqkxh,1,300,val
adqftoxbjl,0,301,train
adqgbsyomi,0,300,train
adqirczghu,1,300,train
adqyqmibof,1,300,val
adrcjenxlz,1,300,train
adrhmbnmof,1,300,train
adrkthanlb,0,300,train
adrkztwtyy,1,288,train
adrnjafcnh,0,300,val
adrqlckutl,1,301,train
adrxofhuxi,1,300,train
adsxpxgjlp,1,300,train
adsxwxeibr,1,300,val
adtavmdgvg,0,300,train
adtcjhkibb,1,300,train
adtftvevja,1,300,train
adthviqaig,0,300,train
adtloiudep,1,300,train
adtlrixcxe,1,300,val
adtovspidj,1,300,train
adtvlinjvb,1,300,train
adubzfvswf,1,300,train
aducalsrif,0,300,train
adueiwhbql,1,300,val
adugeltfwz,1,300,val
adukaourac,1,300,val
adurlibudg,1,300,val
advhlnfwag,1,301,train
advqisfjvd,1,301,train
advyjmiozx,1,300,train
advzryyfkn,0,300,val
adwbthsgqb,1,299,test
adwdhdssrh,0,300,train
adwhyklevu,1,300,val
adwjhlqver,0,300,train
adwrokpofy,0,300,val
adwtqjusqx,1,300,val
adwujlygpp,0,300,train
adxbfqfvry,1,299,val
adxeuzvvzb,0,300,train
adxkyxkepg,1,300,val
adxnttcbku,1,300,train
adxqqhgqnb,1,300,train
adxsoladps,1,298,train
adxtihgjrs,1,300,train
adxvxfsbhw,1,300,val
adybvfykyw,1,300,train
adybwllgkj,1,301,val
adyfconmdy,1,300,train
adyhhmmvxb,1,300,train
adyiotxxxu,1,300,train
adylbeequz,1,300,train
adylpmghhr,1,300,train
adylsrnsan,1,300,train
adywyvayvj,1,300,val
adzcyjtpet,1,300,train
adzogkbmuo,1,300,train
adzpdfkzaj,1,300,train
adzxmqarac,1,301,train
adzxumycjn,1,300,train
adzzdafqok,1,300,train
aeaalcklkf,1,300,train
aeafanmfvt,1,300,train
aeahutrvaj,1,300,train
aeamguivpq,0,300,train
aeapxhoeli,1,300,train
aearhnatoj,1,301,val
aebafchtks,1,300,train
aebaxxepmo,1,300,train
aebenljufi,1,300,train
aebgvmafzx,1,300,train
aebhowazav,1,300,train
aebjlsefci,1,298,train
aebkhtsigw,0,300,val
aebrgxdalw,1,300,train
aebybbzzdp,1,300,train
aecaowvcvo,1,300,train
aeccicjqmy,1,300,val
aecehlesrj,1,300,train
aecilvlrmt,0,299,train
aeciwinhhl,1,300,train
aeclidpgbb,1,300,train
aecmpgzdbs,1,300,train
aeconjpzxx,1,300,val
aectxtnhws,1,300,train
aecunwnmcw,0,300,train
aedbcwxsud,1,300,val
aedbjztjwz,1,300,train
aedcdpbyhq,1,300,train
aednqykqfh,1,300,train
aedxxcqpqk,1,301,val
aeectgudlh,1,300,val
aeeesixhlh,1,300,train
aeeigakagw,1,300,train
aeeigmpocb,0,300,train
aeejcrifmn,1,300,train
aeejycxkwb,1,300,train
aeendqqdkv,1,300,train
aeepmwyhkk,1,300,train
aeetrnfoir,0,147,train
aeeuubqure,1,300,val
aefblqbblo,1,300,val
aefcnrszdv,1,240,train
aefjjvlmfe,1,300,val
aefkeswufw,1,300,train
aefpqqxvbe,1,300,val
aefsxxkosk,1,300,train
aeftglfxkv,0,300,train
aefxispfct,1,300,train
aegchddxjh,1,300,train
aegeiboeus,1,300,train
aegmpmgpje,1,300,train
aegvtnwqoe,1,300,val
aegwmawqov,1,300,val
aegzgdzwhx,1,298,train
aehavkoosa,1,300,val
aehqeompff,1,300,train
aehruoendm,0,300,train
aehsmecopx,1,300,train
aeiagzdnun,1,300,train
aeibxrjmej,1,300,train
aeicdssqro,1,300,train
aeiljgujcj,1,301,train
aeinolstjf,0,300,train
aeiziaaxua,1,300,val
aejgdsuoqg,1,300,val
aejhwrtzel,1,300,val
aejlbaxwrb,0,300,train
aejnircxtk,1,300,train
aejqcnyktk,1,300,train
aejroilouc,1,300,test
aejtmxrtxs,1,300,train
aejvkfbtxs,1,300,test
aejxzhccak,1,300,train
aejywkgnar,1,301,train
aekbcfwbwg,1,300,train
aekcmnblby,1,300,test
aekibaeyku,1,300,val
aekmkwtlis,1,300,train
aekosfipob,1,300,train
aekrohihxa,1,300,train
aekvkkmfqi,1,301,train
aelcnlgdez,1,255,train
aeldazmimi,1,300,train
aelegvxesy,1,300,train
aelfnikyqj,0,300,train
aelsditult,1,298,train
aelsfznuqw,1,299,val
aelvskvush,1,300,val
aelybbzizk,1,300,train
aelzhcnwgf,1,300,train
aemdhhvdbm,1,301,val
aemfpfwron,1,300,train
aemjdivfqf,1,300,train
aemldzfofe,1,300,train
aempoxlxod,1,301,train
aemtbjgkfl,1,300,train
aemursmjjc,1,300,train
aemuyscfmg,1,300,train
aemywfagkq,0,300,train
aenbgyszpv,1,300,train
aenbulmxjs,0,300,train
aencvflgzz,1,300,val
aendggysgf,1,300,train
aenfqtmksu,1,300,train
aenrudespm,1,300,train
aentwuqfmv,1,300,train
aeoeeroavr,1,300,train
aeofbjgjgb,1,300,val
aeolxtsnfc,0,300,train
aeoogtyzpd,1,300,train
aeovzefbpr,1,299,val
aeoxlkxmyj,0,300,val
aepbnctjuv,1,300,val
aepfidmamk,1,300,train
aephjahtms,1,300,train
aepixllcqi,1,300,val
aeplbqxnge,1,300,train
aeplkbgkub,1,300,train
aepnnpkscx,1,301,train
aepuluzrdy,0,300,train
aeqdxmdwrd,1,300,train
aeqengxxrg,0,301,val
aeqfnecrcb,1,301,val
aeqpxjlbwu,1,300,test
aeqrctqwxt,1,300,train
aeqslfyyih,1,300,train
aeqwhzfyzg,0,300,train
aerabkktdg,1,300,train
aerhtwlqzx,1,300,train
aerihvkxyj,1,301,val
aerkmsxipq,1,300,train
aernxhvxss,1,301,train
aerpisvqwx,1,300,train
aerwisykdl,0,299,val
aerzetktyh,0,300,train
aesdmkwcja,1,300,val
aesicqmigv,1,296,val
aesqljtwep,1,300,train
aesxbmbwce,1,300,train
aetbhpddib,1,301,val
aetbyrujti,1,300,train
aetcdsmpld,1,301,train
aetdhiqpaf,1,300,train
aetpnobkcv,1,300,train
aettqgevhz,1,300,train
aetucrlshk,1,298,val
aeudhfvcvk,1,299,test
aeujbvkafe,1,300,val
aeusdpiftd,1,301,val
aeuxknmacb,1,241,train
aeuyruleqo,1,296,val
aeuzjqawlf,1,301,val
aeuznaywzs,1,300,train
aevavjcuqq,1,301,train
aevbmlbayq,0,300,train
aevfqnzeuu,1,300,train
aeviyhvand,1,300,train
aevjgnxdei,1,300,train
aevmvtdssq,1,300,train
aevpdbbxoh,1,300,train
aevqxxxhno,1,300,train
aevrfsexku,1,300,train
aevvibtfva,1,300,train
aevxvajusj,0,300,train
aewaxxdbjk,1,300,train
aewhkicghc,1,300,val
aewkzkqmqj,1,300,train
aewplvpush,1,300,val
aewpytojhs,0,300,train
aewsbofgwl,0,300,train
aewyjymfdv,1,297,val
aewzjcqpaq,1,300,val
aexfaanqvz,1,296,train
aexhjlyxko,1,300,train
aexkdsocpo,1,300,val
aexrhjvlfa,1,300,train
aexunyfjsl,1,300,val
aexvjvqmsj,1,300,train
aexwgcmvef,0,300,train
aeybidzwoe,0,300,train
aeydatwurh,1,300,val
aeydtyokjq,1,300,train
aeykoomsoa,0,298,train
aeyprmocjo,1,300,train
aeysrmfmht,0,300,train
aeytxfwmjh,1,300,train
aeyvvhevxe,1,300,train
aezagrnzdz,0,300,train
aezcgyslac,1,300,train
aezgmksjlx,1,300,train
aeziwslgvt,1,300,train
aezndieatk,1,300,train
aezujunliw,1,300,train
aezvgaqjpf,1,241,train
aezyekjqvb,1,300,train
aezyoffjsd,1,300,train
aezyquwuci,1,300,val
afadqgujvi,1,300,train
afaduxukbd,0,300,train
afagmjswbt,1,300,val
afagoqmhsb,1,300,train
afakjxsove,1,300,train
afanttpmut,1,300,val
afatmolcby,1,300,train
afaxsgqksm,1,300,train
afbgivckik,0,300,val
afbhfqnswr,1,301,val
afbjhgoqcz,1,300,val
afbpbhunsi,1,300,train
afbscszraw,1,300,train
afbwxsnsjv,0,300,train
afbxszoeml,1,300,val
afcbxoxdmz,1,300,val
afceemtoue,1,300,train
afceqneqfr,1,300,train
afcfvexdoj,0,300,train
afchfngwuj,0,300,train
afcicxheuj,1,300,train
afcldghkid,1,300,train
afcwvndury,0,300,train
afcxyiwatf,1,301,val
afdblocyhi,1,300,val
afdcbqqjgz,1,300,train
afemctlakq,1,300,val
afemjrgmyk,0,300,train
afeqcmrcww,1,300,train
afetvyxndy,1,300,train
afexcmhzxn,1,300,train
afezjurpyw,1,300,train
